IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度MB/s
8.218.3.12,2053,true,HKG,亚太,香港,36 ms,37.16
8.217.251.62,8443,true,HKG,亚太,香港,43 ms,37.15
47.236.174.206,2096,true,SIN,亚太,新加坡,4 ms,37.14
47.242.42.153,2096,true,HKG,亚太,香港,38 ms,37.11
47.243.107.148,2096,true,HKG,亚太,香港,33 ms,37.09
8.210.244.38,2083,true,HKG,亚太,香港,35 ms,37.07
47.76.213.245,8443,true,HKG,亚太,香港,38 ms,37.05
8.218.136.25,2087,true,HKG,亚太,香港,38 ms,37.01
47.238.35.50,2096,true,HKG,亚太,香港,40 ms,36.97
8.218.65.171,2053,true,HKG,亚太,香港,34 ms,36.96
8.218.228.152,2083,true,HKG,亚太,香港,38 ms,36.91
47.76.227.128,2083,true,HKG,亚太,香港,38 ms,36.90
8.218.155.238,2096,true,HKG,亚太,香港,38 ms,36.86
8.210.192.93,2083,true,HKG,亚太,香港,43 ms,36.84
8.218.146.204,2083,true,HKG,亚太,香港,41 ms,36.80
8.218.181.189,2083,true,HKG,亚太,香港,34 ms,36.77
47.76.204.76,8443,true,HKG,亚太,香港,39 ms,36.77
8.210.34.188,2087,true,HKG,亚太,香港,36 ms,36.76
47.242.155.183,2096,true,HKG,亚太,香港,37 ms,36.75
47.76.213.245,2053,true,HKG,亚太,香港,39 ms,36.75
47.236.164.215,8443,true,SIN,亚太,新加坡,4 ms,36.74
8.210.21.65,2096,true,HKG,亚太,香港,41 ms,36.74
8.218.3.198,8443,true,HKG,亚太,香港,38 ms,36.74
47.236.10.182,8443,true,SIN,亚太,新加坡,5 ms,36.73
8.210.203.7,8443,true,HKG,亚太,香港,41 ms,36.73
47.243.139.243,2087,true,HKG,亚太,香港,41 ms,36.71
47.242.7.162,2053,true,HKG,亚太,香港,40 ms,36.71
8.218.243.95,8443,true,HKG,亚太,香港,40 ms,36.71
8.210.48.107,2053,true,HKG,亚太,香港,39 ms,36.70
47.243.51.171,2087,true,HKG,亚太,香港,41 ms,36.70
8.210.9.129,2096,true,HKG,亚太,香港,41 ms,36.70
47.243.86.79,8443,true,HKG,亚太,香港,38 ms,36.69
47.76.80.72,2053,true,HKG,亚太,香港,42 ms,36.69
8.210.89.245,2083,true,HKG,亚太,香港,42 ms,36.59
47.243.120.239,8443,true,HKG,亚太,香港,38 ms,36.58
47.238.5.0,2083,true,HKG,亚太,香港,39 ms,36.58
8.210.174.156,8443,true,HKG,亚太,香港,41 ms,36.57
8.218.8.142,2087,true,HKG,亚太,香港,37 ms,36.54
47.237.95.146,2087,true,SIN,亚太,新加坡,4 ms,36.53
8.210.207.214,2087,true,HKG,亚太,香港,38 ms,36.53
8.218.178.79,2053,true,HKG,亚太,香港,44 ms,36.52
8.218.243.95,2096,true,HKG,亚太,香港,43 ms,36.49
47.242.36.78,2083,true,HKG,亚太,香港,41 ms,36.49
8.217.50.252,8443,true,HKG,亚太,香港,36 ms,36.47
47.243.120.239,2087,true,HKG,亚太,香港,37 ms,36.47
47.236.164.215,2087,true,SIN,亚太,新加坡,3 ms,36.45
8.217.50.252,2053,true,HKG,亚太,香港,37 ms,36.44
8.218.188.129,8443,true,HKG,亚太,香港,35 ms,36.44
47.242.202.230,2083,true,HKG,亚太,香港,40 ms,36.43
8.218.178.79,8443,true,HKG,亚太,香港,39 ms,36.42
8.210.85.222,8443,true,HKG,亚太,香港,37 ms,36.40
47.243.107.148,2053,true,HKG,亚太,香港,40 ms,36.34
47.243.60.150,2053,true,HKG,亚太,香港,38 ms,36.34
8.218.92.195,2087,true,HKG,亚太,香港,40 ms,36.33
8.210.175.109,2053,true,HKG,亚太,香港,38 ms,36.32
